name,date,swe_month
V2,2017-01-01,2655384.3870967743
V2,2017-02-01,3258582.1964285714
V2,2017-03-01,3648197.6532258065
V2,2017-04-01,3247401.308333333
V2,2017-05-01,1694613.6754032255
V2,2017-06-01,237671.6671223959
V2,2017-07-01,9902.926434916833
V2,2017-08-01,1708.4925005512855
V2,2017-09-01,4871.913585519788
V2,2017-10-01,159279.95501512097
V2,2017-11-01,258678.584375
V2,2017-12-01,499102.49899193546
V2,2018-01-01,1124258.3245967743
V2,2018-02-01,1733428.799107143
V2,2018-03-01,2129827.955645161
V2,2018-04-01,1944973.0208333333
V2,2018-05-01,1210816.6693548388
V2,2018-06-01,443115.5851562501
V2,2018-07-01,27670.87551978328
V2,2018-08-01,3629.4424064390128
V2,2018-09-01,1963.496609710157
V2,2018-10-01,80841.76965332031
V2,2018-11-01,468332.97239583335
V2,2018-12-01,1094133.5826612902
V2,2019-01-01,1542858.1330645161
V2,2019-02-01,1854746.3794642857
V2,2019-03-01,1768057.0685483871
V2,2019-04-01,1215945.1020833333
V2,2019-05-01,861820.3205645162
V2,2019-06-01,305288.79218749993
V2,2019-07-01,24425.722120715734
V2,2019-08-01,340.62533836210923
V2,2019-09-01,5086.832104873658
V2,2019-10-01,27428.335716985886
V2,2019-11-01,96752.08938802086
V2,2019-12-01,358702.9017137096
V2,2020-01-01,824677.7782258064
V2,2020-02-01,1070455.1745689656
V2,2020-03-01,1209698.3709677418
V2,2020-04-01,963768.95
V2,2020-05-01,365031.5584677419
V2,2020-06-01,77750.95091145832
V2,2020-07-01,23832.655178931447
V2,2020-08-01,8118.319225680443
V2,2020-09-01,3055.7006221354004
V2,2020-10-01,50552.238533266136
V2,2020-11-01,172919.81679687498
V2,2020-12-01,426335.3830645161
V2,2021-01-01,516253.81350806454
V2,2021-02-01,835182.2142857143
V2,2021-03-01,1462175.4838709678
V2,2021-04-01,1689795.525
V2,2021-05-01,606203.1648185482
V2,2021-06-01,50941.43489583334
V2,2021-07-01,8339.549332157258
V2,2021-08-01,672.2223767003704
V2,2021-09-01,19.535026551534727
V2,2021-10-01,116077.7889483052
V2,2021-11-01,326791.00729166664
V2,2021-12-01,477150.06048387097
V2,2022-01-01,586080.2792338709
V2,2022-02-01,799620.4955357143
V2,2022-03-01,1438800.5060483874
V2,2022-04-01,1477745.0145833334
V2,2022-05-01,550306.3800403227
V2,2022-06-01,197375.83020833338
V2,2022-07-01,14567.423387096776
V2,2022-08-01,3536.287770917339
V3,2001-01-01,926537.2721774194
V3,2001-02-01,1140502.21875
V3,2001-03-01,1213063.814516129
V3,2001-04-01,1058557.75625
V3,2001-05-01,447919.1484375
V3,2001-06-01,27935.41104329426
V3,2001-07-01,1771.8986462008572
V3,2001-08-01,578.9195153021043
V3,2001-09-01,4498.335110425452
V3,2001-10-01,90918.79621345765
V3,2001-11-01,318697.0802083333
V3,2001-12-01,811232.2278225806
V3,2002-01-01,1119425.5504032257
V3,2002-02-01,1312256.6919642857
V3,2002-03-01,1372856.560483871
V3,2002-04-01,1159511.3770833334
V3,2002-05-01,762676.5705645161
V3,2002-06-01,190629.79205729172
V3,2002-07-01,9703.050552860383
V3,2002-08-01,1348.7483855216733
V3,2002-09-01,768.5900016784667
V3,2002-10-01,36949.33329034621
V3,2002-11-01,88566.734765625
V3,2002-12-01,478286.3790322581
V3,2003-01-01,780541.0443548387
V3,2003-02-01,1057191.0379464286
V3,2003-03-01,1588219.625
V3,2003-04-01,1780986.5416666667
V3,2003-05-01,1280340.6169354836
V3,2003-06-01,278806.08125
V3,2003-07-01,16532.66236926664
V3,2003-08-01,2582.284325384325
V3,2003-09-01,2934.5013157901676
V3,2003-10-01,19987.281080676665
V3,2003-11-01,272044.3632161458
V3,2003-12-01,579494.3084677419
V3,2004-01-01,806821.7096774194
V3,2004-02-01,1134324.1228448276
V3,2004-03-01,1707070.7419354836
V3,2004-04-01,1558150.7875
V3,2004-05-01,795886.0534274193
V3,2004-06-01,205940.0390625
V3,2004-07-01,11382.492077242941
V3,2004-08-01,2878.146775768649
V3,2004-09-01,471.38742314726125
V3,2004-10-01,19820.360356484693
V3,2004-11-01,127328.263671875
V3,2004-12-01,392629.0453629032
V3,2005-01-01,683476.0120967742
V3,2005-02-01,1123411.2232142857
V3,2005-03-01,1082241.0302419355
V3,2005-04-01,1153593.8125
V3,2005-05-01,381394.63508064515
V3,2005-06-01,108196.90830078124
V3,2005-07-01,2973.993963426158
V3,2005-08-01,1095.719000047253
V3,2005-09-01,1220.2959145074087
V3,2005-10-01,16538.93802372102
V3,2005-11-01,79021.83828125002
V3,2005-12-01,320257.23513104836
V3,2006-01-01,651899.6592741937
V3,2006-02-01,1369860.5625
V3,2006-03-01,1570342.439516129
V3,2006-04-01,1406836.9083333334
V3,2006-05-01,406374.12525201624
V3,2006-06-01,41703.79853515626
V3,2006-07-01,4336.3525390625
V3,2006-08-01,978.6214471632435
V3,2006-09-01,623.3692179903387
V3,2006-10-01,21910.53276603452
V3,2006-11-01,72985.86210937498
V3,2006-12-01,158329.80115927418
V3,2007-01-01,225409.18850806452
V3,2007-02-01,281473.07645089284
V3,2007-03-01,392781.93346774194
V3,2007-04-01,384427.0572916666
V3,2007-05-01,94893.28351814517
V3,2007-06-01,20060.341194661465
V3,2007-07-01,3030.5366762222784
V3,2007-08-01,876.4204574092741
V3,2007-09-01,391.4770481506983
V3,2007-10-01,14555.302939138104
V3,2007-11-01,62044.50846354168
V3,2007-12-01,353091.42439516133
V3,2008-01-01,697307.9576612903
V3,2008-02-01,843634.8211206896
V3,2008-03-01,993344.9072580645
V3,2008-04-01,962859.3
V3,2008-05-01,324159.4766885082
V3,2008-06-01,8285.333882649742
V3,2008-07-01,411.803362200337
V3,2008-08-01,17.614903604070985
V3,2008-09-01,494.85430423816035
V3,2008-10-01,26295.535288164698
V3,2008-11-01,180449.75221354168
V3,2008-12-01,343009.8986895162
V3,2009-01-01,868719.9415322581
V3,2009-02-01,1023683.7276785715
V3,2009-03-01,1316232.0927419355
V3,2009-04-01,1034046.3395833333
V3,2009-05-01,866976.6512096773
V3,2009-06-01,275063.1770833334
V3,2009-07-01,42896.058845766136
V3,2009-08-01,5768.175954511089
V3,2009-09-01,2634.0412671407066
V3,2009-10-01,9145.457583519723
V3,2009-11-01,156409.55234374997
V3,2009-12-01,409992.81300403224
V3,2010-01-01,842293.0050403227
V3,2010-02-01,1651574.375
V3,2010-03-01,2120747.245967742
V3,2010-04-01,1918977.4041666666
V3,2010-05-01,814106.0564516127
V3,2010-06-01,247878.50651041663
V3,2010-07-01,9914.541279454386
V3,2010-08-01,1147.2566036101312
V3,2010-09-01,7720.933122165253
V3,2010-10-01,63187.89585433467
V3,2010-11-01,102158.37239583334
V3,2010-12-01,286248.74294354836
V3,2011-01-01,396072.00705645164
V3,2011-02-01,599946.0959821428
V3,2011-03-01,847618.9576612903
V3,2011-04-01,682811.8604166667
V3,2011-05-01,196268.68296370967
V3,2011-06-01,68908.44296874998
V3,2011-07-01,4122.025634765625
V3,2011-08-01,837.2229712701612
V3,2011-09-01,769.2376739626131
V3,2011-10-01,35530.37098152405
V3,2011-11-01,605602.4885416668
V3,2011-12-01,1100463.052419355
V3,2012-01-01,1291149.8629032257
V3,2012-02-01,1491189.948275862
V3,2012-03-01,1825598.5241935484
V3,2012-04-01,1284369.879166667
V3,2012-05-01,539256.2429435484
V3,2012-06-01,117010.60761718747
V3,2012-07-01,5007.145547190021
V3,2012-08-01,1012.2462148358745
V3,2012-09-01,2430.87776481832
V3,2012-10-01,31854.991352696572
V3,2012-11-01,190064.95624999996
V3,2012-12-01,580742.2237903227
V3,2013-01-01,928947.5181451613
V3,2013-02-01,1223096.9375
V3,2013-03-01,1315897.122983871
V3,2013-04-01,742042.825
V3,2013-05-01,380363.62046370964
V3,2013-06-01,113327.27382812502
V3,2013-07-01,10389.989935105848
V3,2013-08-01,1714.2466824439264
V3,2013-09-01,477.97713784600313
V3,2013-10-01,4378.435167222254
V3,2013-11-01,81496.46126302081
V3,2013-12-01,217298.7663810484
V3,2014-01-01,351281.2167338709
V3,2014-02-01,1019248.3794642857
V3,2014-03-01,1106149.252016129
V3,2014-04-01,806345.5854166667
V3,2014-05-01,364453.01663306454
V3,2014-06-01,100581.49889322916
V3,2014-07-01,2802.8376563287543
V3,2014-08-01,379.0429269113848
V3,2014-09-01,540.8593573619924
V3,2014-10-01,32866.85416929182
V3,2014-11-01,232241.46484375
V3,2014-12-01,715820.8689516129
V3,2015-01-01,953557.4838709678
V3,2015-02-01,1331721.424107143
V3,2015-03-01,1524002.177419355
V3,2015-04-01,1379102.4895833335
V3,2015-05-01,472838.3382056451
V3,2015-06-01,93560.36569010414
V3,2015-07-01,4972.564203077749
V3,2015-08-01,152.36967842040522
V3,2015-09-01,3378.8516761109236
V3,2015-10-01,34136.498487903234
V3,2015-11-01,264219.04921875
V3,2015-12-01,615315.4173387096
V3,2016-01-01,827614.2520161291
V3,2016-02-01,989351.6788793104
V3,2016-03-01,920917.625
V3,2016-04-01,806510.0895833333
V3,2016-05-01,355969.2535282259
V3,2016-06-01,94795.2315104167
V3,2016-07-01,3897.403867660029
V3,2016-08-01,644.3301273469002
V3,2016-09-01,166.51425532971817
V3,2016-10-01,119985.40901823963
V3,2016-11-01,531332.2265625
V3,2016-12-01,1297922.7338709678
V3,2017-01-01,1871903.2701612904
V3,2017-02-01,2305645.78125
